confidence,name_similarity,match_type,ls_product_id,ls_name,ls_sku,brand,ls_current_type_id,our_category,our_sku,our_name
REVIEW,0.59,sku_match,905f23f4-1957-4c3b-91ed-b17a9b49a7fd,Micro Suede Fur Vest (W-WMA-DW98C04151-BLA-M),W-WMA-DW98C04151-BLA-M,,,Apparel - Vest,W-WMA-DW98C04151-BLA-M,Microsuede Fur Vest
REVIEW,0.53,sku_match,f4c55f14-90e5-42fd-9bfc-7d9b2f2a6200,Outback Vest (W-OTC-29629-BLK-2X),W-OTC-29629-BLK-2X,,,Apparel - Vest,W-OTC-29629-BLK-2X,Outback Vest
REVIEW,0.53,sku_match,d54bce2b-3bd0-41e7-a4d4-efa4c075d35e,Outback Vest (W-OTC-29629-BLK-2X),W-OTC-29629-BLK-3X,,,Apparel - Vest,W-OTC-29629-BLK-3X,Outback Vest
REVIEW,0.59,sku_match,6511741f-dba4-4199-be5e-43c01a78738b,Men's SS Solid Snap (M-WMA-PSMS1SR0XX-WHI-XS),M-WMA-PSMS1SR0XX-WHI-S,,,Apparel - Western Shirt,M-WMA-PSMS1SR0XX-WHI-S,Men's SS Solid Snap
REVIEW,0.59,sku_match,a1740225-ce9b-44b4-9d2a-61feb61e1b78,Men's SS Solid Snap (M-WMA-PSMS1SR0XX-WHI-XS),M-WMA-PSMS1SR0XX-WHI-XS,,,Apparel - Western Shirt,M-WMA-PSMS1SR0XX-WHI-XS,Men's SS Solid Snap
REVIEW,0.21,sku_match,5a2c0071-6ae9-4b28-b5d0-918b3154c40a,Ovation Stretch Rid Shirt (K-JPC-3200-DOV-12R),K-WMA-3200-PNK-10,,,Apparel - Western Shirt,K-WMA-3200-PNK-10,Devon Aire
REVIEW,0.56,sku_match,33119c8d-1396-4ccb-afab-9aa41a554dc5,PR Aztec Printed LS (A-GEN-BBN2S07648-TEA-XS),A-WMA-BBN2S07648-TEA-M,,,Apparel - Western Shirt,A-WMA-BBN2S07648-TEA-M,RR Aztec Printed LS
REVIEW,0.54,sku_match,cefe939e-69a1-4f07-8184-effb54b0838e,TuffRider Ladies Long Sleeves Show Shirt (W-JPC-100138-234-WHI-XXL),W-JPC-100138-234-WHI-XXL,,,Apparel - Western Shirt,W-JPC-100138-234-WHI-XXL,TuffRider Cotton LS Show Shirt
REVIEW,0.25,sku_match,8c3fdf1c-548b-43ff-9131-d9fab985e957,Wrangler Women's Dark Wash Long Sleeve Pearl Snap Denim Western Shirt (W-GEN-10LW7007D-M),W-KON-10LW7007D-DEN-XXL,,,Apparel - Western Shirt,W-KON-10LW7007D-DEN-XXL,Wrangler Retro
REVIEW,0.58,sku_match,51b5be4a-c1e7-4cd3-b21f-4df83e2f33a1,Ladies LS Button (W-WMA-R4T7595-RED-XL),W-WMA-R4T7595-RED-XL,,,Apparel - Woven Shirt,W-WMA-R4T7595-RED-XL,Ladies LS Button
