style,orphan_sku,orphan_ls_id_being_deleted,source_pid,existing_sibling_skus,sibling_count,action_taken,review_note
MSW9164241,W-MIN-MSW9164241-COR-COR-XL,91d51e8a-56fe-43e1-bf73-be1ccc5459a9,3776,MSW9164241 | MSW9164241-COR-S | MSW9164241-COR-M | MSW9164241-COR-L | W-MIN-MSW9164241-COR-XL,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MSW9164218,W-MIN-MSW9164218-LTB-LT-XXL,78e46fc5-2775-4400-b79b-0064f51dcb84,3831,MSW9164218 | W-MIN-MSW9164218-LTB-XXL,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
10012948,M-ARI-10012948-9.5-EE,102ae3ee-c5cb-4f1a-bf05-7378aa6b5d3c,3896,10012948,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RWPYWD-90425372,A-RHE-RWPYWD-90425372-GRA-7-1/4,c6dfeeda-eb0b-47a6-a3ac-46272f80f129,4113,RWPYWD-90425372,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RW9TRD-CJ420774,A-RHE-RW9TRD-CJ420774-BLA-7-1/2,d8d091b2-f00c-4b22-b11e-35f77310cb94,4135,RW9TRD-CJ420774,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RW9TRD-CJ424974,A-RHE-RW9TRD-CJ424974-GRN-7-1/2,11e2a9de-677c-4bb2-bef8-0474b1f0cb3f,4140,RW9TRD-CJ424974,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T7101047-6.875,A-MFW-T7101047-6.875-BRO-6-7/8,d8a8d3cc-2a76-4a30-94af-11a9104e247a,4167,T7101047-6.875,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T7101047-7.75,A-MFW-T7101047-7.75-7-3/4,dd0d9321-5051-4b58-bd14-53c921000cfe,4171,T7101047-7.75,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T7101001-6.75,A-MFW-T7101001-6.75-BLA-6-3/4,63e69971-631f-48f2-be5b-59da97b8cae8,4175,T7101001-6.75,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T7101001-7.25,A-MFW-T7101001-7.25-BLA-7-1/4,08f0cec8-e8d3-43cf-8493-1479c256fa25,4176,T7101001-7.25,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T7101001-7.625,A-MFW-T7101001-7.625-BLA-7-5/8,6b17db17-1dd0-43a8-81aa-6e3ae771be21,4179,T7101001-7.625,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T75324286-7.375,A-MFW-T75324286-7.375-GRA-7-3/8,e2d2a3f0-420c-439f-bc82-159ff7dee60d,4196,T75324286-7.375,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71010277-6.5,A-MFW-T71010277-6.5-TAN-6-1/2,e334962e-bc86-4987-8166-2af64cecf7e6,4202,T71010277-6.5,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
T71010277-7.25,A-MFW-T71010277-7.25-CRE-7-1/4,6f0b8c95-d639-4c10-83ad-9c3198daa47a,4207,T71010277-7.25,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
