source_pid,orphan_sku,ls_product_id,ls_uuid_found,style_number_raw,style_number_clean,embedded_color_code,brand,supplier,category,barcode,retail_price,supply_price,color,size,item_name
5677,A-WLE-35-1032-BL-BLU-Weanling-Horse,61d59906-247b-4dac-9b44-1398423a2e5b,Y,35-1032-BL,35-1032-BL,,Weaver Equine,Weaver Leather,Equine - Halter,000399117242,22.95,,Blue,Weanling Horse,"3/4"" Adj Chin & Throat Snap Halter"
5680,A-JTI-44-2045-BRO-Large-Horse,6f8f2587-9d72-4bba-8d87-62181186b245,Y,44-2045,44-2045,,JT Int'l,JT International,Equestrian - Halter,688499107235,54.95,,Brown,Large Horse,Tough 1 - Halter & Lead Pair
5681,A-JTI-44-2045-BRO-Large-Horse,6f8f2587-9d72-4bba-8d87-62181186b245,Y,44-2045,44-2045,,JT International,JT International,Equestrian - Halter,,54.95,,Brown,Large Horse,Tough 1 Halter & Lead Pair
5692,A-JTI-44-2045-BRO-Large-Horse,6f8f2587-9d72-4bba-8d87-62181186b245,Y,44-2045,44-2045,,JT Int'l,JT International,Equestrian - Halter,,54.95,,Brown,Large Horse,Tough 1 - Halter & Lead Pair
5701,A-ARI-A73148-6.75-CHO-6-3/4,8d992dd7-bff1-412a-b7a5-6b201f198a96,Y,A73148-6.75,A73148-6.75,,Ariat,Ariat International,Hats - Straw,701340575677,50.97,,Choc,6 3/4,SISOL SS/SS Hat
5704,A-GEN-CSCMCEB3041BB66-BUR-6-3/4,1f8d4cd4-3541-4d29-91b6-22b1153f3876,Y,CSCMCEB3041BB66,CSCMCEB3041BB66,,,Generic Supplier,Hats - Straw,733877113756,49.95,,Burned,6 3/4,Comanche B Hat
5705,A-GEN-CSCMCEB3041BB73-BUR-7-3/8,4205b47f-8feb-4505-b4fa-d35305806897,Y,CSCMCEB3041BB73,CSCMCEB3041BB73,,,Generic Supplier,Hats - Straw,733877113800,49.95,,Burned,7 3/8,Comanche B Hat
5706,A-GEN-CSCMCEB3041BB74-BUR-7-1/2,3bba709f-76b7-4f89-bbd4-9e5f90407e91,Y,CSCMCEB3041BB74,CSCMCEB3041BB74,,,Generic Supplier,Hats - Straw,733877113817,49.95,,Burned,7 1/2,Comanche B Hat
5709,A-RHE-OSALDR---203005M0-WHE-M,ae9f16f1-a1cf-4365-8ded-fd3ecd6adc9d,Y,OSALDR - 203005M0,OSALDR,-,Stetson,"HATCO (RHE Hatco, Inc.)",Hats - Straw,,64.95,,Wheat,M,Stetson Alder Hat
5711,A-RHE-OSBLGD---343007M0-BLA-M,25027b71-d352-4d1a-941c-bd1b3941f5f7,Y,OSBLGD - 343007M0,OSBLGD,-,Stetson ,"HATCO (RHE Hatco, Inc.)",Hats - Straw,195556034477,64.95,,Black,M,Belgrade Hat
5712,A-RHE-OSBLGD---BLA-M,58fcdb31-3eeb-4f38-8d2b-19d1e90f95f8,Y,OSBLGD -,OSBLGD,-,Stetson,"HATCO (RHE Hatco, Inc.)",Hats - Straw,,64.95,,Black,M,Stetson Belgrade Hat
5714,A-RHE-OSBLGD---34007L0-BLA-L,23511d4e-ad00-41b6-a75a-cde5054e1124,Y,OSBLGD - 34007L0,OSBLGD,-,Stetson ,"HATCO (RHE Hatco, Inc.)",Hats - Straw,,64.95,,Black,L,Stetson Belgrade Hat
5715,A-RHE-OSBLGD---343007XL-BLA-XL,e0d104b9-c97f-4ff4-bd28-493864cc4d44,Y,OSBLGD - 343007XL,OSBLGD,-,Stetson ,"HATCO (RHE Hatco, Inc.)",Hats - Straw,195556034491,64.95,,Black,XL,Belgrade Hat
5717,A-GEN-RSHORL-73428174-NAT-7-1/2,8ff29239-0fca-4565-ae2d-e609cb5fb574,Y,RSHORL-73428174,RSHORL-73428174,,,Generic Supplier,Hats - Straw,883383795660,76.95,,Natural,7 1/2,Natural Straw Hat
5718,A-ARI-A73170-6.75-6-3/4,a18a57e4-3d84-4f29-9247-c09434e72199,Y,A73170-6.75,A73170-6.75,,Ariat,Ariat International,Hats - Straw,701340587625,95.97,,,6 3/4,Ariat Straw Hat
5725,A-MFW-T71621-7.375-7-3/8,b872b1f5-dd2d-4cc0-af94-55d41d4f4d63,Y,T71621-7.375,T71621-7.375,,M&F,M&F Western Products,Hats - Straw,701340526150,41.95,,,7 3/8,Twister Bangora Western Hat
5726,A-MFW-T71621-7.5-7-1/2,08128dd5-4ea7-4037-ac77-1deb03aed1e0,Y,T71621-7.5,T71621-7.5,,M&F,M&F Western Products,Hats - Straw,701340526167,41.95,,,7 1/2,Twister Hat T71621-7.5
5727,A-GEN-RSCATT-35408176-NAT-7-3/4,6e28c18c-7e12-4522-81a0-a36bb4b8c16f,Y,RSCATT-35408176,RSCATT-35408176,,,Generic Supplier,Hats - Straw,717220127287,139.95,,Natural,7 3/4,Cattleman 81 Eye Hat
5729,A-MFW-T73436-6.75-6-3/4,7da93aeb-1ccc-4e1d-84fe-d904d1a4d300,Y,T73436-6.75,T73436-6.75,,M&F,M&F Western Products,Hats - Straw,701340789616,78.95,,,6 3/4,Twister Hat T73436
5730,A-MFW-T73436-6.875-6-7/8,30af0ea2-b2fd-4f01-8649-66a6b3fdca9c,Y,T73436-6.875,T73436-6.875,,M&F,M&F Western Products,Hats - Straw,701340789623,78.95,,,6 7/8,Twister Hat T73436
5731,A-JMA-8952-D-BLA,23c60a7a-d328-44df-a067-19fcec1ecced,Y,8952 D,8952,D,Mustang Manufacturing,"Jacks Manufacturing, Inc.",Equestrian - ,635913009781,17.95,,Black,,Adjustable Trailer Tie
5734,A-MFW-T73436-7.375-7-3/8,fabb57e5-8e4d-48a1-9119-b872dd66bc67,Y,T73436-7.375,T73436-7.375,,M&F Western Products,M&F Western Products,Hats - Straw,701340789661,77.95,,,7 3/8,Twister Hat T73436
5735,A-MFW-T73436-7.5-7-1/2,04a303e3-2786-4196-a1c8-1af6716d3df8,Y,T73436-7.5,T73436-7.5,,M&F,M&F Western Products,Hats - Straw,701340789678,78.95,,,7 1/2,Twister Hat T73436
5736,A-MFW-T73436-7.625-7-5/8,37abbba7-3cec-45f6-943b-d59ee9e2607b,Y,T73436-7.625,T73436-7.625,,M&F,M&F Western Products,Hats - Straw,701340789685,78.95,,,7 5/8,Twister Hat T73436
5737,A-ARI-A73124-6.75-6-3/4,f6bef1be-f2ca-4c3f-8d00-17515e78a1d7,Y,A73124-6.75,A73124-6.75,,Ariat,Ariat International,Hats - Straw,701340536722,43.95,,,6 3/4,Ariat Hat A73124
5739,A-ARI-A73124-6.75-6-3/4,f6bef1be-f2ca-4c3f-8d00-17515e78a1d7,Y,A73124-6.75,A73124-6.75,,Ariat,Ariat International,Hats - Straw,,43.95,,,6 3/4,Ariat Hat A73124
5740,A-ARI-A73124-6.75-6-3/4,f6bef1be-f2ca-4c3f-8d00-17515e78a1d7,Y,A73124-6.75,A73124-6.75,,Ariat,Ariat International,Hats - Straw,,43.95,,,6 3/4,Ariat Hat A73124
5742,A-ARI-A73124-6.75-6-3/4,f6bef1be-f2ca-4c3f-8d00-17515e78a1d7,Y,A73124-6.75,A73124-6.75,,Ariat,Ariat International,Hats - Straw,,43.95,,,6 3/4,Ariat Hat A73124
5743,A-GEN-RSCOJO---CJ429666-NT-6-3/4,2f225d6c-c953-4c71-9384-ad8eefda7e12,Y,RSCOJO - CJ429666,RSCOJO,-,,Generic Supplier,Hats - Straw,883383865363,149.95,,Nat/Tan,6 3/4,CoJo Special Hat
5744,A-GEN-RSCOJO-CJ420588-WHE-6-3/4,7097b48a-95a7-4e10-b687-3811bd72a226,Y,RSCOJO-CJ420588,RSCOJO-CJ420588,,,Generic Supplier,Hats - Straw,195558074534,149.95,,Wheat,6 3/4,COJO Special Hat
5746,A-GEN-RSCOJO-CJ429667-NT-6-7/8,868a6361-dc7c-4d3c-969b-8b8f1b45fbec,Y,RSCOJO-CJ429667,RSCOJO-CJ429667,,,Generic Supplier,Hats - Straw,883383865370,149.95,,Nat/Tan,6 7/8,CoJo Special Hat
5748,A-GEN-RSCOJO-CJ429673-NT-7-3/8,841fd38e-9c21-44c6-bca7-422a97986ce2,Y,RSCOJO-CJ429673,RSCOJO-CJ429673,,,Generic Supplier,Hats - Straw,883383865417,149.95,,Nat/Tan,7 3/8,CoJo Special Hat
5749,A-GEN-RSCOJO-CJ429673-NT-7-3/8,841fd38e-9c21-44c6-bca7-422a97986ce2,Y,RSCOJO-CJ429673,RSCOJO-CJ429673,,,Generic Supplier,Hats - Straw,,149.95,,Nat/Tan,7 3/8,CoJo Special Hat
5750,A-GEN-RSCOJO-CJ429672-NT-7-1/4,5c272626-2d7e-4ee3-98c8-ff5368c029ea,Y,RSCOJO-CJ429672,RSCOJO-CJ429672,,,Generic Supplier,Hats - Straw,883383865400,149.99,,Nat/Tan,7 1/4,CoJo Special Hat
5751,A-GEN-RSCOJO-CJ429672-NT-7-1/4,5c272626-2d7e-4ee3-98c8-ff5368c029ea,Y,RSCOJO-CJ429672,RSCOJO-CJ429672,,,Generic Supplier,Accessories - Hat,,149.99,,Nat/Tan,7 1/4,CoJo Special Hat
5775,A-MFW-T7101001-6.875-BLA-6-7/8,55d4244d-ebfc-46cb-80f4-7e100b7baf3f,Y,T7101001-6.875,T7101001-6.875,,M&F Western Products,M&F Western Products,Hats - Wool,701340287143,78.95,,Black,6 7/8,Twister Hat T7101001
5776,A-MFW-T171001-7.125-BLA-7-1/8,b4084321-1707-4385-aa3f-db2877afaef6,Y,T171001-7.125,T171001-7.125,,M&F Western Products,M&F Western Products,Accessories - Hats,701340287167,78.95,,Black,7 1/8,Twister Hat T7101001
5778,A-MFW-T7101001-6.875-BLA-6-7/8,55d4244d-ebfc-46cb-80f4-7e100b7baf3f,Y,T7101001-6.875,T7101001-6.875,,M&F Western Products,M&F Western Products,Hats - Wool,,78.95,,Black,6 7/8,Twister Hat T7101001
5779,A-MFW-T7101001-7.125-BLA-7-1/8,b34be4ce-e7cd-48a1-956c-385538af8570,Y,T7101001-7.125,T7101001-7.125,,M&F Western Products,M&F Western Products,Hats - Wool,,78.95,,Black,7 1/8,Twister Hat T7101001
5780,A-MFW-T7101001-7.375-BLA-7-3/8,9b47a381-2497-42d4-b3b7-36531be8b304,Y,T7101001-7.375,T7101001-7.375,,M&F Western Products,M&F Western Products,Hats - Wool,701340287181,78.95,,Black,7 3/8,Twister Hat T7101001
5781,A-MFW-T75324286-6.875-BLA-6-7/8,81100317-37b5-46b3-8475-0749376a2024,Y,T75324286-6.875,T75324286-6.875,,Twister,M&F Western Products LLC,Hats - Wool,701340767379,84.95,,Black,6 7/8,Twister Hat T75324286
5783,A-MFW-T75324286-6.875-BLA-6-7/8,81100317-37b5-46b3-8475-0749376a2024,Y,T75324286-6.875,T75324286-6.875,,M&F Western Products,M&F Western Products,Hats - Wool,,84.95,,Black,6 7/8,Twister Hat
5784,A-MFW-T75324286-7.125-BLA-7-1/8,0da6fea8-74af-4716-bb84-1ebb8c8d6c84,Y,T75324286-7.125,T75324286-7.125,,M&F Western Products,M&F Western Products,Hats - Wool,701340767393,84.95,,Black,7 1/8,Twister Hat T75324286
5796,A-MFW-T73436-7-125-7-1/8,0e139d04-fa7b-4779-b28a-86b512e9683f,Y,T73436-7 125,T73436-7,125,M&F Western Products,M&F Western Products,Hats - Straw,701340789647,77.95,,,7 1/8,Twister Hat T73436
5797,A-MFW-T73436-7-125-7-1/8,0e139d04-fa7b-4779-b28a-86b512e9683f,Y,T73436-7 125,T73436-7,125,M&F Western Products,M&F Western Products,Hats - Straw,,77.95,,,7 1/8,Twister Hat T73436
5798,A-MFW-T73436-7.25-7-1/4,b3a922f4-f66b-4f93-9ea3-6ca7acdbb026,Y,T73436-7.25,T73436-7.25,,M&F Western Products,M&F Western Products,Hats - Straw,701340789654,77.95,,,7 1/4,Twister Hat T73436
5801,A-MFW-T73436-7.375-7-3/8,fabb57e5-8e4d-48a1-9119-b872dd66bc67,Y,T73436-7.375,T73436-7.375,,M&F Western Products,M&F Western Products,Hats - Straw,,77.95,,,7 3/8,Twister Hat T73436
5802,A-RHE-RSSH0T-3042-NAT-7-3/4,a1c37729-2b3b-4c45-bc3b-2fc45cb94155,Y,RSSH0T-3042,RSSH0T-3042,,RHE Hatco,"HATCO (RHE Hatco, Inc.)",Hats - Straw,717220587586,49.95,,Natural,7 3/4,Hatco Shootout Hat
5803,A-RHE-RSSHOT-3042-NAT-7-5/8,58684c63-45aa-4f5f-b6ec-70701ff6e0db,Y,RSSHOT-3042,RSSHOT-3042,,RHE Hatco,"HATCO (RHE Hatco, Inc.)",Hats - Straw,717220587579,49.95,,Natural,7 5/8,Hatco Shootout Hat
5804,A-RHE-RSSHOT-3042-NAT-7-1/2,47c77b5a-20f5-4852-93df-dfb0892ecf4a,Y,RSSHOT-3042,RSSHOT-3042,,RHE Hatco,"HATCO (RHE Hatco, Inc.)",Hats - Straw,717220587562,49.95,,Natural,7 1/2,Hatco Shootout Hat
