source,ls_product_id,sku,new_name,color_code,size,length,ls_barcode,ss_upc,upc_match,ls_supply_price,ss_supply_price,supply_match,ls_retail_price,status
per_color_family,222aa6cf-46cf-4760-9ddc-4c8c76aa9266,M-Kon-1013MWZWK-29-30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,29,30,760609723808,760609723808,True,30.0,30.0,True,59.95,CLEAN
per_color_family,1bc86a55-cca8-4418-b0ab-5e3ee14c5cdc,M-Kon-1013MWZWK-29-32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,29,32,084084494306,084084494306,True,30.0,30.0,True,59.95,CLEAN
per_color_family,ff57d6ac-8649-46d3-b557-d790bcf03db9,M-Kon-1013MWZWK-29-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,29,34,084084494313,084084494313,True,30.0,30.0,True,59.95,CLEAN
per_color_family,1d2111e1-ef32-4fbc-a84a-3d45d413d8bd,M-Kon-1013MWZWK-29-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,29,36,084084494320,084084494320,True,30.0,30.0,True,59.95,CLEAN
per_color_family,0a999377-4620-43b7-a88e-6aa77c5665d6,M-Kon-1013MWZWK-29-38,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,29,38,084084494337,084084494337,True,31.25,31.25,True,63.95,CLEAN
per_color_family,e891711e-8852-4243-87e0-4f3253b171c1,M-Kon-1013MWZWK-29-40,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,29,40,084084821072,084084821072,True,30.0,30.0,True,59.95,CLEAN
per_color_family,eabdd688-68a6-4ab7-9dc4-48fd9beabbc6,M-Kon-1013MWZWK-30-30,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,30,30,084084494344,084084494344,True,30.0,30.0,True,59.95,CLEAN
per_color_family,a9f724aa-74a5-4836-8dbf-970030141ef6,M-Kon-1013MWZWK-30-32,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,30,32,084084494351,084084494351,True,30.0,30.0,True,59.95,CLEAN
per_color_family,71c9952d-321e-4f74-bcf8-efae80491693,M-Kon-1013MWZWK-30-34,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,30,34,084084494368,084084494368,True,30.0,30.0,True,59.95,CLEAN
per_color_family,79ae85e5-72c5-4817-a13f-45ec88f9b626,M-Kon-1013MWZWK-30-36,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,30,36,084084494375,084084494375,True,30.0,30.0,True,59.95,CLEAN
per_color_family,05c73757-6d91-4b7d-a9fd-711dbeecc659,M-Kon-1013MWZWK-30-38,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,30,38,084084494382,084084494382,True,31.25,31.25,True,63.95,CLEAN
per_color_family,5f026dd1-747f-4ca7-927c-de158199c8f0,M-Kon-1013MWZWK-30-40,COWBOY CUT JEAN* ORIGINAL FIT SHADOW_BLK,SHB,30,40,084084821089,084084821089,True,31.25,31.25,True,63.95,CLEAN
